Unnamed: 0,Title,Author,FileName
0,Lady Chatterley's lover,D. H. Lawrence,Lady Chatterley's Lover_D.H. Lawrence.txt
1,Uncle Tom's Cabin,Harriet Beecher Stowe,Uncle Tom's Cabin_ Harriet Beecher Stowe.txt
2,The Sun Also Rises,Ernest Hemingway,The Sun Also Rises_ Ernest Hemingway.txt
3,The Great Gatsby,F. Scott Fitzgerald,The Great Gatbsy.txt
4,The Origin of Species by Means of Natural Selection,Charles Darwin,The Origin of Species by Means of Natural Selection_ Charles Darwin.txt
5,Three Weeks,Elinor Glyn,Three Weeks_Elinor Glyn.txt
6,Oil!,Upton Sinclair,Oil!_ Upton Sinclair.txt
7,Jude the Obscure,Thomas Hardy,Jude the Obscure_ Thomas Hardy.txt
8,Ulysses,James Joyce,Ulysses_James Joyce.txt
9,Antic Hay,Aldous Huxley,"Antic Hay, by Aldous Huxley.txt"
10,"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass,An American Slave_ Frederick Douglass.txt
11,The Scarlet Letter,Nathaniel Hawthorne,The Scarlet Letter.txt
12,Strange Interlude (1928),Eugene O'Neill,Strange Interlude_ Eugene O'Neill.txt
13,"Incidents in the Life of a Slave Girl, Written by Herself",Harriet A. Jacobs,Incidents in the Life of a Slave Girl_Harriet Jacobs.txt
14,The Writings of Thomas Paine — Volume 4 (1794-1796): The Age of Reason,Thomas Paine,The Age of Reason_ Thomas Paine.txt
15,The Decameron of Giovanni Boccaccio,Giovanni Boccaccio,The Decameron _Giovanni Boccaccio.txt
16,Adventures of Huckleberry Finn,Mark Twain,Adventures of Huckleberry Finn_ Mark Twain.txt
17,"The Canterbury Tales, and Other Poems",Geoffrey Chaucer,The Canterbury Tales_Geoffrey Chaucer.txt
18,Desire Under the Elms,Eugene O'Neill,Desire Under the Elms_ Eugene O'Neill.txt
19,The Sorrows of Young Werther,Johann Wolfgang von Goethe,The Sorrows of Young Werther_ Johann Wolfgang von Goethe.txt
20,The Picture of Dorian Gray,Oscar Wilde,The Picture of Dorian Gray_Oscar Wilde.txt
21,Memoirs of Fanny Hill,John Cleland,Memoirs Of Fanny Hill_ John Cleland.txt
22,Alice's Adventures in Wonderland,Lewis Carroll,Alice's Adventures in Wonderland_ Lewis Carroll.txt
23,Elmer Gantry,Sinclair Lewis,Elmer Gantry_ Sinclair Lewis.txt
24,Leaves of Grass,Walt Whitman,Leaves of Grass_ Walt Whitman.txt
25,The Kama Sutra of Vatsyayana,Vatsyayana,The Kama Sutra of Vatsyayana_ Sir Richard F.Burton.txt
26,An American Tragedy,Theodore Dreiser,An American Tragedy_ Theodore Dreiser.txt
27,Thirteen Reasons Why,Jay Asher,13_Reasons_Why.html
28,Call Me by Your Name,André Aciman,Call-Me-by-Your-Name.html
29,Eleanor and Park,Rainbow Rowell,Eleanor-and-Park.html
30,To Kill a Mockingbird,Harper Lee,To-Kill-a-Mockingbird.html
31,The Philosopher's Stone,J.K. Rowling,The-Philosopher-s-Stone.html
32,Aristotle and Dante Discover the Secrets of the Universe,Benjamin Sáenz,Aristotle_and_Dante_Discover_the_Secrets_of_the_Universe_hocr.html
33,Gabi: a Girl in Pieces,Isabel Quintero,Gabi_a_Girl_in_Pieces_hocr.html
34,Gender Queer: a Memoir,Maia Kobabe,Gender_Queer_A_Memoir _hocr.html
35,The Da Vinci Code,Dan Brown,The-Da-Vinci-Code.html
36,Lord of the Rings- The Fellowship of the Ring,J.R.R. Tolkien,lord-of-the-rings-the-fellowship-of-the-ring_hocr.html
37,I'll Give You the Sun,Jandy Nelson,I-ll-Give-You-the-Sun.html
38,Slaughterhouse Five,Kurt Vonnegut,Slaughterhouse-Five-_Kurt-Vonnegut-Jr...-_Z-Library_.html
39,The Color Purple,Alice Walker,The-Color-Purple.html
40,The Grapes of Wrath,John Steinbeck,The-Grapes-of-Wrath.html
41,The Catcher in the Rye,J.D. Salinger,The_Catcher_in_the_Rye_hocr.html
42,Nineteen Eighty Four,George Orwell,Nineteen eighty-four.html
43,The DUFF: Designated Ugly Fat Friend,Kody Keplinger,the-duff-designated-ugly-fat-friend-hocr.html
44,The Handmaid's Tale,Margaret Atwood,the-handmaids-tale_hocr.html
45,Throne of Glass,Sarah J. Maas,Throne-of-Glass-.html
